"","Segment","Start","End","StartNew","EndNew"
"1",1,2019-03-27 21:22:00,2019-03-27 21:24:52,92.8333333333333,95.7
"2",2,2019-03-27 21:26:00,2019-03-27 21:32:32,96.8333333333333,103.366666666667
"3",3,2019-03-27 21:34:03,2019-03-27 21:35:48,104.883333333333,106.633333333333
"4",4,2019-03-27 21:38:48,2019-03-27 21:39:06,109.633333333333,109.933333333333
"5",5,2019-03-27 21:48:26,2019-03-27 21:49:02,119.266666666667,119.866666666667
"6",6,2019-03-27 21:52:43,2019-03-27 21:52:45,123.55,123.583333333333
"7",7,2019-03-27 21:54:08,2019-03-27 21:54:37,124.966666666667,125.45
"8",8,2019-03-27 21:58:19,2019-03-27 21:58:53,129.15,129.716666666667
"9",9,2019-03-27 22:01:15,2019-03-27 21:01:22,132.083333333333,72.2
"10",10,2019-03-27 21:16:01,2019-03-27 21:16:55,86.85,87.75
"11",11,2019-03-27 22:20:13,2019-03-27 22:20:38,151.05,151.466666666667
"12",12,2019-03-27 22:25:38,2019-03-27 22:26:36,156.466666666667,157.433333333333
"13",13,2019-03-27 22:31:57,2019-03-27 22:32:53,162.783333333333,163.716666666667
"14",14,2019-03-27 22:48:31,2019-03-27 22:49:25,179.35,180.25
"15",15,2019-03-27 22:55:31,2019-03-27 22:56:16,186.35,187.1
"16",16,2019-03-27 23:09:40,2019-03-27 23:10:19,200.5,201.15
"17",17,2019-03-27 23:15:55,2019-03-27 23:16:39,206.75,207.483333333333
"18",18,2019-03-27 23:18:42,2019-03-27 23:20:23,209.533333333333,211.216666666667
